Date,Rating,Review,Device Type
2025-11-11 15:05:37,5,My acc my moneys,Phone
2025-11-11 12:23:57,5,Thank,Phone
2025-11-11 11:50:34,5,?????????????????????????????? ??????????????,Phone
2025-11-11 10:36:54,2,good appointment for ?,Phone
2025-11-11 04:48:47,5,good,Phone
2025-11-11 04:38:58,5,like,Phone
2025-11-10 21:23:13,5,good,Phone
2025-11-10 18:10:24,5,GOOD APP FOR BUSINESS,Phone
2025-11-10 15:15:31,5,good,Phone
2025-11-10 12:09:32,5,ok,Tablet
2025-11-10 09:33:59,4,Good,Phone
2025-11-10 03:59:24,5,Good,Phone
2025-11-09 17:42:25,4,ok,Phone
2025-11-09 14:30:35,5,very good,Phone
2025-11-09 12:53:24,5,like,Phone
2025-11-09 09:51:00,5,Good,Phone
2025-11-09 09:39:58,5,good app,Phone
2025-11-09 09:22:00,5,thank play store,Tablet
2025-11-09 09:02:08,5,kpay is great,Phone
2025-11-09 08:53:57,5,???!,Phone
2025-11-09 08:32:23,5,kpay acc????????????,Phone
2025-11-09 06:57:00,5,kolaythu,Phone
2025-11-09 01:33:28,5,very good,Phone
2025-11-08 18:29:26,1,Scam app ????????? ????????? 5K ?????? ????????????? ???????????????????? ???????????????????,Phone
2025-11-08 15:15:32,1,"bad service,",Phone
2025-11-08 14:27:50,4,Good,Phone
2025-11-08 13:52:52,5,good,Phone
2025-11-08 08:43:55,1,I don't like this app,Phone
2025-11-07 20:08:52,5,good,Tablet
2025-11-07 18:48:25,5,SoOkgood,Phone
2025-11-07 17:17:36,5,Nice App for payment,Phone
2025-11-07 16:46:38,3,ok,Phone
2025-11-07 08:11:32,5,so good,Phone
2025-11-07 07:21:33,5,good,Phone
2025-11-07 05:59:26,1,don't use this software. you will lose all of your money. their customer service will not support you whatever you facing.,Phone
2025-11-07 03:45:23,5,Help you app dowload,Phone
2025-11-07 01:18:26,5,good,Phone
2025-11-06 19:12:58,5,Very good,Phone
2025-11-06 15:55:11,5,good,Phone
2025-11-06 15:04:34,5,good,Phone
2025-11-06 13:14:45,1,?????????????? noti ?????????? phayloephyit loh ???????? ??????????????? ???????? matharma tway yay,Tablet
2025-11-06 07:49:50,5,very good,Tablet
2025-11-06 03:51:51,5,very good,Tablet
2025-11-06 02:47:14,3,good lee,Phone
2025-11-05 14:23:11,5,good,Phone
2025-11-05 11:33:23,5,???????? service SMS ????? ???????????????????? massage ?????? ???????? ??? ??????????? ?????,Phone
2025-11-05 08:40:07,5,i like this@,Phone
2025-11-05 06:39:32,2,good,Phone
2025-11-05 02:45:49,5,Using for best app,Phone
2025-11-04 23:13:31,5,good,Phone
2025-11-04 18:28:47,5,Best,Phone
2025-11-04 17:10:25,5,??????????????????????????????????? ???????????,Phone
2025-11-03 18:36:51,5,goid,Phone
2025-11-03 15:39:29,4,"Why is recharge for some games not updating. It says ''Maintenance is Underway"".",Tablet
2025-11-03 15:23:38,4,good,Phone
2025-11-03 15:08:18,1,you can app join very slowiy down,Phone
2025-11-03 14:57:51,5,Ok,Tablet
2025-11-02 10:03:02,5,good,Tablet
2025-11-01 22:46:26,5,good,Phone
2025-11-01 14:31:00,1,a lot of errors too disappointing,Phone
2025-11-01 13:43:12,5,good,Phone
2025-11-01 13:25:59,5,ThawDar,Phone
2025-11-01 03:13:55,5,?????????????????????,Phone
2025-11-01 02:40:30,1,?????????? ????????????????????,Phone
2025-10-31 18:06:04,3,"Need to "" Dark mode"" next update.",Phone
2025-10-31 17:44:41,1,pin??????? ???????????,Phone
2025-10-31 16:14:47,5,It is easy to use and convenient because of its clear payment and strong security. It saves time.,Phone
2025-10-31 10:11:43,5,Good app,Phone
2025-10-31 07:05:56,5,tgankyou,Phone
2025-10-31 02:15:59,5,like,Phone
2025-10-31 02:12:35,5,good,Tablet
2025-10-30 09:43:19,5,like,Phone
2025-10-30 08:17:48,5,thank love you all,Phone
2025-10-30 07:02:14,5,very useful for me,Phone
2025-10-30 06:33:55,5,????????????????????,Phone
2025-10-30 05:43:25,3,good job,Phone
2025-10-30 02:45:57,4,good,Phone
2025-10-29 21:45:25,5,Best App In Burma.,Phone
2025-10-29 21:17:05,5,help me,Phone
2025-10-29 19:23:26,5,ok,Phone
2025-10-29 14:02:54,5,like,Phone
2025-10-29 13:23:26,1,xi,Tablet
2025-10-29 13:05:45,1,??????????????,Tablet
2025-10-29 09:02:47,5,ok,Phone
2025-10-29 06:49:23,5,????????,Phone
2025-10-29 05:46:26,2,2 update,Phone
2025-10-29 05:18:53,5,it really good,Phone
2025-10-28 23:08:08,5,Lee Pet,Phone
2025-10-28 16:46:24,5,like thet,Phone
2025-10-28 08:17:24,3,goob,Phone
2025-10-28 02:31:05,5,t is fine and we do,Phone
2025-10-28 02:23:12,5,kplay,Phone
2025-10-27 17:42:02,5,Good,Phone
2025-10-27 12:20:07,5,Useful for me,Phone
2025-10-27 05:15:34,5,Good,Phone
2025-10-26 19:27:22,5,very good to use this app,Phone
2025-10-26 15:31:04,5,device change,Tablet
2025-10-26 15:10:18,5,Hhuu,Phone
2025-10-26 11:56:52,5,thanksyou,Phone
2025-10-26 06:02:56,1,no update,Phone
2025-10-25 19:41:01,5,r?jt,Phone
2025-10-25 16:27:34,4,goots,Phone
2025-10-25 14:02:13,5,kyawgyi,Phone
2025-10-25 03:20:34,5,good live,Phone
2025-10-24 15:58:15,5,good to use,Phone
2025-10-24 12:24:06,5,please app down not??,Phone
2025-10-24 08:13:28,5,Ok,Tablet
2025-10-24 07:06:09,5,good.,Phone
2025-10-24 05:59:29,5,good,Phone
2025-10-24 05:30:44,5,nice,Phone
2025-10-24 04:32:16,1,shitiest app ever I use.. it doesn't allow topping up to same number with same amount.,Phone
2025-10-24 00:38:44,5,ok,Phone
2025-10-23 12:29:39,5,good,Phone
2025-10-23 11:56:13,5,good night baby,Phone
2025-10-23 07:12:05,5,My Mi-Phone cann`t use this app.Why?why?,Phone
2025-10-23 01:22:47,5,Good,Phone
2025-10-23 01:00:49,5,good app,Phone
2025-10-22 23:38:20,5,good,Tablet
2025-10-22 18:29:41,5,Very good,Tablet
2025-10-22 14:54:45,3,ok,Tablet
2025-10-22 13:54:29,5,good,Tablet
2025-10-22 13:12:54,5,I like .,Tablet
2025-10-22 13:07:01,5,Yas,Phone
2025-10-22 11:42:11,5,good,Phone
2025-10-22 11:39:11,5,Government controlled bank,Phone
2025-10-22 11:06:30,3,When will the full upgrade come? I would like to add the ability to create your own password and PIN.,Phone
2025-10-22 06:23:06,5,????,Phone
2025-10-22 06:11:32,5,Thank you.For app,Phone
2025-10-22 04:34:11,1,"Overall is great , but the annoying thing is ur kpay acc is automatically follow official accounts ( Like page/Advertising Channels ) however i unfollow them , it keeps coming a lot and tired of it. The user must have control of their own accounts not by force following even if they pay to put on the kpay official accounts list.",Phone
2025-10-20 15:06:37,3,Nice app,Phone
2025-10-20 14:07:31,1,???????????????hack?????,Phone
2025-10-20 12:07:25,5,so good,Phone
2025-10-20 05:59:41,2,not bed,Phone
2025-10-20 04:52:58,5,install,Tablet
2025-10-20 00:28:43,5,good,Tablet
2025-10-19 20:13:49,5,err,Phone
2025-10-19 17:49:08,5,pha ngai..,Phone
2025-10-19 16:03:54,5,SaSai,Phone
2025-10-19 15:17:29,5,ok,Phone
2025-10-19 13:04:29,5,better,Phone
2025-10-18 16:34:18,1,??????????????????????????????????????????????????????????????????????????????,Tablet
2025-10-18 16:23:50,4,appreciate,Phone
2025-10-18 13:40:17,4,Good app,Tablet
2025-10-18 12:28:50,5,very useful,Tablet
2025-10-18 12:10:01,5,ok,Phone
2025-10-18 11:06:14,5,KBZ Bank and UK city taunggyi Myanmar the grand Shan hotel and tour rental Inlay myanmar. family and friends,Tablet
2025-10-18 09:36:36,5,I life like do.,Phone
2025-10-18 06:56:01,5,Nice,Phone
2025-10-18 06:32:53,1,????????? ???????? $ ????????????? application ????? ??????? ????????????? KBZ Center ??? Account ????????????? ??????????????????????? ???????????? ?????????????? ?????????????????? ??????? ???? ? ??????? ?????? ? ??????????? ??????????????????? ???????????????? ?????????????????? ???????? $ ??????????????????????????? ??? ???????????? ???? Application ????? ??????? uninstall ?????????????????????? ????????????????? ????????????????????????? Uninstall ??????????????,Phone
2025-10-18 04:21:22,5,it's useful,Phone
2025-10-17 17:21:48,5,i need money,Tablet
2025-10-17 15:48:08,5,Nnt.,Phone
2025-10-17 08:48:51,5,good,Tablet
2025-10-17 08:41:35,5,verygood,Phone
2025-10-17 08:07:25,5,good,Phone
2025-10-17 05:01:43,5,?????????????? ??????????,Phone
2025-10-17 02:47:03,5,????,Phone
2025-10-17 01:07:40,5,ok,Phone
2025-10-16 17:42:26,5,Good??,Phone
2025-10-16 12:45:47,3,Good,Phone
2025-10-16 11:07:15,1,Very Bad customer services ever.,Phone
2025-10-16 10:52:45,5,Good app thank,Tablet
2025-10-16 09:14:43,5,QUERT@.KBZPAY piN ?????????????????????????,Phone
2025-10-16 08:05:19,5,like,Phone
2025-10-15 22:03:35,5,ok,Phone
2025-10-15 15:28:47,5,Good,Tablet
2025-10-15 13:26:32,5,good,Phone
2025-10-15 12:16:22,5,Love you all,Phone
2025-10-15 12:16:07,5,?????????,Phone
2025-10-15 11:16:41,5,????????,Phone
2025-10-15 04:01:11,5,useful app,Tablet
2025-10-15 03:02:30,5,good,Phone
2025-10-14 14:03:34,5,so good,Phone
2025-10-14 11:17:55,1,low bank service quality,Phone
2025-10-14 09:14:24,5,very good,Phone
2025-10-14 08:58:21,5,app into not dainger good like,Phone
2025-10-14 05:53:14,5,good,Phone
2025-10-13 17:03:48,5,good,Phone
2025-10-13 09:23:57,5,Thanks you .This App regular to money payment,Phone
2025-10-13 06:28:59,5,ok,Phone
2025-10-13 06:26:09,5,htoomyat,Phone
2025-10-13 05:18:33,5,?????????????????,Phone
2025-10-12 20:15:52,4,Really ? Hhfg,Phone
2025-10-12 17:59:01,5,good,Phone
2025-10-12 17:12:03,5,good,Tablet
2025-10-12 16:31:37,5,good luck,Tablet
2025-10-12 11:31:28,1,MaungMin,Tablet
2025-10-12 08:47:43,1,??????????????????????????????,Tablet
2025-10-12 08:02:50,5,good,Tablet
2025-10-12 04:36:08,4,majala,Phone
2025-10-12 02:47:16,4,Good,Phone
2025-10-12 01:26:12,5,good,Phone
2025-10-11 13:29:59,5,barry so myat,Phone
