Date,Rating,Review,Device Type,Is_Burmese,Sentiment_Score,Translated_Review,Sentiment_Score_Translated
11/11/2025 15:05,5,My acc my moneys,Phone,0,0,My acc my moneys,0
11/11/2025 12:23,5,Thank,Phone,0,0,Thank,0
11/11/2025 11:50,5,မျက်နှာစကန်ပြန်ပြန်တောင်းနေတယ် အကောင့်ဖွင့်တာ,Phone,1,0,I'm asking for a face scan again to open an account,0
11/11/2025 10:36,2,good appointment for ✌,Phone,0,0.7,good appointment for ✌,0.7
11/11/2025 4:48,5,good,Phone,0,0.7,good,0.7
11/11/2025 4:38,5,like,Phone,0,0,like,0
11/10/2025 21:23,5,good,Phone,0,0.7,good,0.7
11/10/2025 18:10,5,GOOD APP FOR BUSINESS,Phone,0,0.7,GOOD APP FOR BUSINESS,0.7
11/10/2025 15:15,5,good,Phone,0,0.7,good,0.7
11/10/2025 12:09,5,ok,Tablet,0,0.5,ok,0.5
11/10/2025 9:33,4,Good,Phone,0,0.7,Good,0.7
11/10/2025 3:59,5,Good,Phone,0,0.7,Good,0.7
11/9/2025 17:42,4,ok,Phone,0,0.5,ok,0.5
11/9/2025 14:30,5,very good,Phone,0,0.9099999999999999,very good,0.9099999999999999
11/9/2025 12:53,5,like,Phone,0,0,like,0
11/9/2025 9:51,5,Good,Phone,0,0.7,Good,0.7
11/9/2025 9:39,5,good app,Phone,0,0.7,good app,0.7
11/9/2025 9:22,5,thank play store,Tablet,0,0,thank play store,0
11/9/2025 9:02,5,kpay is great,Phone,0,0.8,kpay is great,0.8
11/9/2025 8:53,5,ဟေ့!,Phone,1,0,Hey!,0
11/9/2025 8:32,5,kpay accပြန်ဝင်မရဘူး,Phone,1,0,Can't get back into kpay acc,0
11/9/2025 6:57,5,kolaythu,Phone,0,0,kolaythu,0
11/9/2025 1:33,5,very good,Phone,0,0.9099999999999999,very good,0.9099999999999999
